"PATID","SEQID","FULLSEQID","COLDATE","TYPE","CENSORED","KEPT","DUPLICATE","DUPLICATES","NOTES"
"patient_2658","M77616","M77616_env_DPSC_1887",1887,"PLASMA",0,1,"M77616_env_DPSC_1887","",NA
"patient_2658","M77619","M77619_env_DPSC_1887",1887,"PLASMA",0,1,"M77619_env_DPSC_1887","",NA
"patient_2658","M77630","M77630_env_DPSC_1887",1887,"PLASMA",0,1,"M77630_env_DPSC_1887","M77636_env_DPSC_1887",NA
"patient_2658","M77636","M77636_env_DPSC_1887",1887,"PLASMA",0,0,"M77630_env_DPSC_1887","M77630_env_DPSC_1887",NA
"patient_2658","M77627","M77627_env_DPSC_1887",1887,"PLASMA",0,1,"M77627_env_DPSC_1887","",NA
"patient_2658","M77634","M77634_env_DPSC_1887",1887,"PLASMA",0,1,"M77634_env_DPSC_1887","",NA
"patient_2658","M77585","M77585_env_DPSC_1309",1309,"PLASMA",0,1,"M77585_env_DPSC_1309","",NA
"patient_2658","M77577","M77577_env_DPSC_1309",1309,"PLASMA",0,1,"M77577_env_DPSC_1309","",NA
"patient_2658","M77587","M77587_env_DPSC_1309",1309,"PLASMA",0,1,"M77587_env_DPSC_1309","M77589_env_DPSC_1309;M77586_env_DPSC_1309",NA
"patient_2658","M77589","M77589_env_DPSC_1309",1309,"PLASMA",0,0,"M77587_env_DPSC_1309","M77587_env_DPSC_1309;M77586_env_DPSC_1309",NA
"patient_2658","M77586","M77586_env_DPSC_1309",1309,"PLASMA",0,0,"M77587_env_DPSC_1309","M77587_env_DPSC_1309;M77589_env_DPSC_1309",NA
"patient_2658","M77617","M77617_env_DPSC_1887",1887,"PLASMA",0,1,"M77617_env_DPSC_1887","",NA
"patient_2658","M77618","M77618_env_DPSC_1887",1887,"PLASMA",0,1,"M77618_env_DPSC_1887","",NA
"patient_2658","M77591","M77591_env_DPSC_1309",1309,"PLASMA",0,1,"M77591_env_DPSC_1309","",NA
"patient_2658","M77603","M77603_env_DPSC_1706",1706,"PLASMA",0,1,"M77603_env_DPSC_1706","",NA
"patient_2658","M77620","M77620_env_DPSC_1887",1887,"PLASMA",0,1,"M77620_env_DPSC_1887","",NA
"patient_2658","M77611","M77611_env_DPSC_1706",1706,"PLASMA",0,1,"M77611_env_DPSC_1706","",NA
"patient_2658","M77612","M77612_env_DPSC_1706",1706,"PLASMA",0,1,"M77612_env_DPSC_1706","M77614_env_DPSC_1706;M77615_env_DPSC_1706",NA
"patient_2658","M77614","M77614_env_DPSC_1706",1706,"PLASMA",0,0,"M77612_env_DPSC_1706","M77612_env_DPSC_1706;M77615_env_DPSC_1706",NA
"patient_2658","M77615","M77615_env_DPSC_1706",1706,"PLASMA",0,0,"M77612_env_DPSC_1706","M77612_env_DPSC_1706;M77614_env_DPSC_1706",NA
"patient_2658","M77599","M77599_env_DPSC_1706",1706,"PLASMA",0,1,"M77599_env_DPSC_1706","",NA
